ID,Author,Title,Journal,Volume,Issue,Year,DOI,ISSN,Abstract
Lane2020,J. W. Lane and J. M. Link and J. M. King and T. L. George and S. W. Claybrook,Benchmark of GOTHIC to EBR-II SHRT-17 and SHRT-45R Tests,Nuclear Technology,206,7,2020,10.1080/00295450.2019.1698896,19437471,"GOTHIC™ has been used to simulate the Experimental Breeder Reactor–II (EBR-II) Shutdown Heat Removal Test 17 (SHRT-17) and Shutdown Heat Removal Test 45R (SHRT-45R), which correspond to protected and unprotected loss-of-flow events, respectively. GOTHIC is a versatile general-purpose, thermal-hydraulic software package that is a hybrid between traditional system thermal-hydraulic and computational fluid dynamics codes. It is a practical engineering tool that has been used for the design and licensing of existing plants, small modular reactors (SMRs), and next-generation plant designs. Historically, the software has been applied for containment analysis and operability assessments for light water reactors (LWRs), but the recent improvements included in GOTHIC 8.3(QA) allow for the software to be used to simulate advanced, non-LWR concepts currently being developed such as sodium, molten salt, lead, and gas–cooled designs. It will be demonstrated in this paper that GOTHIC includes both the required attributes to model EBR-II and the appropriate physics to accurately simulate the steady-state operating conditions as well as SHRT-17 and SHRT-45R. The GOTHIC model of EBR-II was developed using only publicly available information. The nodalization was selected not only to capture the important phenomena but also to remain computationally efficient. The GOTHIC results show good agreement in both magnitude and trend with the experimental data. Differences are within the bounds of experimental uncertainty and required engineering assumptions applied in the model to fill in gaps in information, particularly for the various leakage paths that existed throughout the primary side of EBR-II, and were not well characterized during the tests."
Xue2021,Jie Xue and Genserik Reniers and Jie Li and Ming Yang and Chaozhong Wu and P. H.A.J.M. van Gelder,A bibliometric and visualized overview for the evolution of process safety and environmental protection,International Journal of Environmental Research and Public Health,18,11,2021,10.3390/ijerph18115985,16604601,"This paper presents a bibliometric overview of the publications in the principal international journal Process Safety and Environmental Protection (PSEP) from 1990 to 2020 retrieved in the Web of Science (WoS) database to explore the evolution in safety and environmental engineering design and practice, as well as experimental or theoretical innovative research. Therefore, based on the WoS database and the visualization of similarities (VOS) viewer software, the bibliometric analysis and scientometric mapping of the literature have been performed from the perspectives of doc-ument types, publication and citation distribution over time, leading authors, countries (regions), institutions, the corresponding collaboration networks, most cited publications and references, fo-cused research fields and topics, research trend evolution over time, etc. The paper provides a comprehensive and quantitative overview and significant picture representation for the journal’s leading and evolutionary trends by employing specific aforementioned bibliometric analysis factors. In addition, by reviewing the evolutionary trends of the journal and the proposed investigated factors, such as the influential works, main research topics, and the research frontiers, this paper reveals the scientific literature production’s main research objectives and directions that could be addressed and explored in future studies."
Frize2021,Monique Frize and Lenka Lhotska and Loredana G. Marcu and Magdalena Stoeva and Gilda Barabino and Fatimah Ibrahim and Sierin Lim and Eleni Kaldoudi and Ana Maria Marques da Silva and Peck Ha Tan and Virginia Tsapaki and Eva Bezak,The impact of COVID-19 pandemic on gender-related work from home in STEM fields—Report of the WiMPBME Task Group,"Gender, Work and Organization",28,S2,2021,10.1111/gwao.12690,14680432,"The COVID-19 pandemic has forced many people, including those in the fields of science and engineering, to work from home. The new working environment caused by the pandemic is assumed to have a different impact on the amount of work that women and men can do from home. Particularly, if the major burden of child and other types of care is still predominantly on the shoulders of women. As such, a survey was conducted to assess the main issues that biomedical engineers, medical physicists (academics and professionals), and other similar professionals have been facing when working from home during the pandemic. A survey was created and disseminated worldwide. It originated from a committee of International Union for Physical and Engineering Sciences in Medicine (IUPESM; Women in Medical Physics and Biomedical Engineering Task Group) and supported by the Union. The ethics clearance was received from Carleton University. The survey was deployed on the Survey Monkey platform and the results were analyzed using IBM SPSS software. The analyses mainly consisted of frequency of the demographic parameters and the cross-tabulation of gender with all relevant variables describing the impact of work at home. A total of 921 responses from biomedical professions in 76 countries were received: 339 males, 573 females, and nine prefer-not-to-say/other. Regarding marital/partnership status, 85% of males were married or in partnership, and 15% were single, whereas 72% of females were married or in partnership, and 26% were single. More women were working from home during the pandemic (68%) versus 50% of men. More men had access to an office at home (68%) versus 64% for women. The proportion of men spending more than 3 h on child care and schooling per day was 12%, while for women it was 22%; for household duties, 8% of men spent more than 3 h; for women, this was 12.5%. It is interesting to note that 44% of men spent between 1 and 3 h per day on household duties, while for women, it was 55%. The high number of survey responses can be considered excellent. It is interesting to note that men participate in childcare and household duties in a relatively high percentage; although this corresponds to less hours daily than for women. It is far more than can be found 2 and 3 decades ago. This may reflect the situation in the developed countries only—as majority of responses (75%) was received from these countries. It is evident that the burden of childcare and household duties will have a negative impact on the careers of women if the burden is not more similar for both sexes. It is important to recognize that a change in policies of organizations that hire them may be required to provide accommodation and compensation to minimize the negative impact on the professional status and career of men and women who work in STEM fields."
Caas2020,José M. Cañas and Diego Martín-Martín and Pedro Arias and Julio Vega and David Roldán-álvarez and Lía García-Pérez and Jesús Fernández-Conde,Open-source drone programming course for distance engineering education,Electronics (Switzerland),9,12,2020,10.3390/electronics9122163,20799292,"This article presents a full course for autonomous aerial robotics inside the RoboticsAcademy framework. This “drone programming” course is open-access and ready-to-use for any teacher/student to teach/learn drone programming with it for free. The students may program diverse drones on their computers without a physical presence in this course. Unmanned aerial vehicles (UAV) applications are essentially practical, as their intelligence resides in the software part. Therefore, the proposed course emphasizes drone programming through practical learning. It comprises a collection of exercises resembling drone applications in real life, such as following a road, visual landing, and people search and rescue, including their corresponding background theory. The course has been successfully taught for five years to students from several university engineering degrees. Some exercises from the course have also been validated in three aerial robotics competitions, including an international one. RoboticsAcademy is also briefly presented in the paper. It is an open framework for distance robotics learning in engineering degrees. It has been designed as a practical complement to the typical online videos of massive open online courses (MOOCs). Its educational contents are built upon robot operating system (ROS) middleware (de facto standard in robot programming), the powerful 3D Gazebo simulator, and the widely used Python programming language. Additionally, RoboticsAcademy is a suitable tool for gamified learning and online robotics competitions, as it includes several competitive exercises and automatic assessment tools."
Asiri2023,Sultan Asiri and Yang Xiao and Saleh Alzahrani and Shuhui Li and Tieshan Li,A Survey of Intelligent Detection Designs of HTML URL Phishing Attacks,IEEE Access,11,,2023,10.1109/ACCESS.2023.3237798,21693536,"Phishing attacks are a type of cybercrime that has grown in recent years. It is part of social engineering attacks where an attacker deceives users by sending fake messages using social media platforms or emails. Phishing attacks steal users' information or download and install malicious software. They are hard to detect because attackers can design a phishing message that looks legitimate to a user. This message may contain a phishing URL so that even an expert can be a victim. This URL leads the victim to a fake website that steals information, such as login information, payment information, etc. Researchers and engineers work to develop methods to detect phishing attacks without the need for the eyes of experts. Even though many papers discuss HTML and URL-based phishing detection methods, there is no comprehensive survey to discuss these methods. Therefore, this paper comprehensively surveys HTML and URL phishing attacks and detection methods. We review the current state-of-art deep learning models to detect URL-based and hybrid-based phishing attacks in detail. We compare each model based on its data preprocessing, feature extraction, model design, and performance."
Shoufan2021,Abdulhadi Shoufan,Active Distance Learning of Embedded Systems,IEEE Access,9,,2021,10.1109/ACCESS.2021.3065248,21693536,"The move from face-to-face to distance learning poses a challenge for courses that rely on hands-on experience such as embedded systems. In this course, students need to work with hardware and software to achieve various learning objectives. For full advantage, the hands-on experience should be aligned with the acquisition of related concepts and procedural knowledge. The alignment of conceptual learning with hands-on experience is a big challenge, in general, and for distance learning, in particular. This article describes how different learning technologies can be integrated to achieve such alignment for embedded systems in a distance learning mode. A framework for active, lecture-free learning was established using a learning management system, YouTube, various web resources, a hardware kit, and a software development environment. The learning activities were implemented as ungraded quizzes on Moodle with different types of questions. These include review questions, conceptual questions, procedural questions, brainstorming questions, code analysis questions, and code creation questions. Our students used the provided hardware kit and the software development environment to complete the learning activities throughout the semester without listening to any live or recorded lecture from our end. This instructional design was evaluated by analyzing learning data generated by Moodle as well as self-report data. The results show high student engagement and positive perceptions of the course content and the learning method. We believe that the proposed pedagogical framework of this design is of general value and can be adopted in other engineering courses with similar requirements of hands-on experience in distance learning."
Dziubak2021,Tadeusz Dziubak and Leszek Bąkała,Computational and experimental analysis of axial flow cyclone used for intake air filtration in internal combustion engines,Energies,14,8,2021,10.3390/en14082285,19961073,"The properties and advantages of axial flow cyclones are presented; several dozen of them are already widely used as the first stage of inlet air filtration in internal combustion motor vehicle engines, work machines and helicopters. The necessity to conduct research on cyclones to improve separation efficiency has been demonstrated. Using the commercial engineering software Ansys Fluent, at a constant inlet velocity of 10 m/s, an assessment was made on the effect of the separation length and inlet diameter of the outlet tube on changes in separation efficiency in axial flow cyclone. Each of the examined parameters was variable while maintaining other factors at a constant level. In the numerical calculations, test dust was used, which was the equivalent of AC fine dust, the particle size composition of which was taken into account using the Rosin– Rammler model. Increase in the separation efficiency was observed with an increase in the separation length and a decrease in the diameter of the cyclone inlet tube. For the cyclone model with an increased separation length and reduced diameter of the inlet pipe, numerical tests of separation efficiency and pressure drop were performed for various velocities at cyclone inlet in the range of 2.5–15 m/s. The obtained characteristics of modified axial flow cyclone were experimentally verified on a laboratory stand during cyclone prototype tests, the model of which was printed using the additive manufacturing technique."
Tribst2020,João Paulo Mendes Tribst and Amanda Maria de Oliveira Dal Piva and Alexandre Luiz Souto Borges and Vinicius Anéas Rodrigues and Marco Antonio Bottino and Cornelis Johannes Kleverlaan,Does the prosthesis weight matter? 3D finite element analysis of a fixed implant-supported prosthesis at different weights and implant numbers,Journal of Advanced Prosthodontics,12,2,2020,10.4047/jap.2020.12.2.67,20057814,"PURPOSE. This study evaluated the influence of prosthesis weight and number of implants on the bone tissue microstrain. MATERIALS AND METHODS. Fifteen (15) fixed full-arch implant-supported prosthesis designs were created using a modeling software with different numbers of implants (4, 6, or 8) and prosthesis weights (10, 15, 20, 40, or 60 g). Each solid was imported to the computer aided engineering software and tetrahedral elements formed the mesh. The material properties were assigned to each solid with isotropic and homogeneous behavior. The friction coefficient was set as 0.3 between all the metallic interfaces, 0.65 for the cortical bone-implant interface, and 0.77 for the cancellous bone-implant interface. The standard earth gravity was defined along the Z-axis and the bone was fixed. The resulting equivalent strain was assumed as failure criteria. RESULTS. The prosthesis weight was related to the bone strain. The more implants installed, the less the amount of strain generated in the bone. The most critical situation was the use of a 60 g prosthesis supported by 4 implants with the largest calculated magnitude of 39.9 mm/mm, thereby suggesting that there was no group able to induce bone remodeling simply due to the prosthesis weight. CONCLUSION. Heavier prostheses under the effect of gravity force are related to more strain being generated around the implants. Installing more implants to support the prosthesis enables attenuating the effects observed in the bone. The simulated prostheses were not able to generate harmful values of peri-implant bone strain."
Liu2021,Jindong Liu,Social Robots as the Bride? Understanding the Construction of Gender in a Japanese Social Robot Product,Human-Machine Communication,2,1,2021,10.30658/hmc.2.5,26386038,"This study critically investigates the construction of gender on a Japanese hologram animestyle social robot Azuma Hikari. By applying a mixed method merging the visual semiotic method and heterogeneous engineering approach in software studies, the signs in Azuma Hikari's anthropomorphized image and the interactivity enabled by the multimedia interface have been analyzed and discussed. The analysis revealed a stereotyped representation of a Japanese ""ideal bride""who should be cute, sexy, comforting, good at housework, and subordinated to ""Master""-like husband. Moreover, the device interface disciplines users to play the role of ""wage earner""in the simulated marriage and reconstructs the gender relations in reality. It suggests the humanization of the objects is often associated with the dehumanization and objectification of the human in reverse."
Jin2020,Xianhao Jin and Francisco Servant,A cost-efficient approach to building in continuous integration,,,,2020,10.1145/3377811.3380437,02705257,"Continuous integration (CI) is a widely used practice in modern software engineering. Unfortunately, it is also an expensive practice -Google and Mozilla estimate their CI systems in millions of dollars. In this paper, we propose a novel approach for reducing the cost of CI. The cost of CI lies in the computing power to run builds and its value mostly lies on letting developers find bugs early - when their size is still small. Thus, we target reducing the number of builds that CI executes by still executing as many failing builds as early as possible. To achieve this goal, we propose SmartBuildSkip, a technique which predicts the first builds in a sequence of build failures and the remaining build failures separately. SmartBuildSkip is customizable, allowing developers to select different preferred trade-offs of saving many builds vs. observing build failures early. We evaluate the motivating hypothesis of SmartBuildSkip, its prediction power, and its cost savings in a realistic scenario. In its most conservative configuration, SmartBuildSkip saved a median 30% of builds by only incurring a median delay of 1 build in a median of 15% failing builds."
Zhang2020,Ziqi Zhang and Yuanchun Li and Yao Guo and Xiangqun Chen and Yunxin Liu,Dynamic slicing for deep neural networks,,,,2020,10.1145/3368089.3409676,,"Program slicing has been widely applied in a variety of software engineering tasks. However, existing program slicing techniques only deal with traditional programs that are constructed with instructions and variables, rather than neural networks that are composed of neurons and synapses. In this paper, we introduce NNSlicer, the first approach for slicing deep neural networks based on data-flow analysis. Our method understands the reaction of each neuron to an input based on the difference between its behavior activated by the input and the average behavior over the whole dataset. Then we quantify the neuron contributions to the slicing criterion by recursively backtracking from the output neurons, and calculate the slice as the neurons and the synapses with larger contributions. We demonstrate the usefulness and effectiveness of NNSlicer with three applications, including adversarial input detection, model pruning, and selective model protection. In all applications, NNSlicer significantly outperforms other baselines that do not rely on data flow analysis."
Gambi2022,Alessio Gambi and Gunel Jahangirova and Vincenzo Riccio and Fiorella Zampetti,SBST Tool Competition 2022,,,,2022,10.1145/3526072.3527538,,"We report on the organization, challenges, and results of the tenth edition of the Java Unit Testing Competition as well as the second edition of the Cyber-Physical Systems (CPS) Testing Competition. Java Unit Testing Competition. Seven tools, i.e., BBC, EvoSuite, Kex, Kex-Reflection, Randoop, UTBot, and UTBot-Mocks, were executed on a benchmark with 65 classes sampled from four open-source Java projects, for two time budgets: 30 and 120 seconds. CPS Testing Tool Competition. Six tools, i.e., AdaFrenetic, AmbieGen, FreneticV, GenRL, EvoMBT and WOGAN competed on testing two driving agents by generating simulation-based tests. We considered one configuration for each test subject and evaluated the tools' effectiveness and efficiency as well as the failure diversity. This paper describes our methodology, the statistical analysis of the results together with the competing tools, and the challenges faced while running the competition experiments."
